Time,1 LVL TZ: Zone Lights Electricity Rate (W) - Hourly,2 LVL TZ: Zone Lights Electricity Rate (W) - Hourly,1 LVL TZ: Zone Electric Equipment Electricity Rate (W) - Hourly,2 LVL TZ: Zone Electric Equipment Electricity Rate (W) - Hourly,CONST SPD FAN: Fan Electricity Rate (W) - Hourly,CONST SPD FAN 1: Fan Electricity Rate (W) - Hourly,FAN CONSTANT VOLUME 1: Fan Electricity Rate (W) - Hourly,1 SPD DX CLG COIL: Cooling Coil Electricity Rate (W) - Hourly,1 SPD DX CLG COIL 1: Cooling Coil Electricity Rate (W) - Hourly,COIL COOLING DX SINGLE SPEED 1: Cooling Coil Electricity Rate (W) - Hourly,PUMP CONSTANT SPEED 1: Pump Electricity Rate (W) - Hourly
01 Jan 16:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,75.39910441775014,0,0,32.24248204999236
01 Jan 17:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,75.72666153033964,0,0,32.24248204999236
01 Jan 18:00,1016.5261598103294,380.0908184352175,5000,51.907699762911754,204.85268064028355,0,0,151.26105238644843,0,0,8.597995213331295
01 Jan 19:00,41.5261598103294,380.0908184352175,5000,51.907699762911754,204.85268064028355,0,0,97.90541411752208,0,0,7.164996011109413
01 Jan 20:00,41.5261598103294,380.0908184352175,5000,51.907699762911754,204.85268064028352,0,0,133.29967610088522,0,0,0
01 Jan 21:00,0,37.5,8.76605952838605,0,204.85268064028355,0,97.14285714285712,0,0,0,0
01 Jan 22:00,0,37.5,8.76605952838605,0,204.85268064028352,0,97.14285714285712,0,0,0,0
01 Jan 23:00,900,37.5,8.76605952838605,0,204.85268064028352,0,97.14285714285712,0,0,0,32.24248204999236
02 Jan 00:00,75,37.5,8.76605952838605,0,204.85268064028352,0,97.14285714285712,0,0,0,32.24248204999236
02 Jan 01:00,0,37.5,0,0,204.85268064028352,0,97.14285714285712,0,0,0,0
02 Jan 02:00,0,37.5,0,0,204.85268064028352,0,97.14285714285712,0,0,0,0
02 Jan 03:00,0,37.5,0,0,204.85268064028352,0,97.14285714285712,0,0,0,0
