Time,600 GAL WATER HEATER - 600 KBTU/HR: Water Heater Heating Rate (W) - Hourly,COIL HEATING GAS 1: Heating Coil NaturalGas Rate (W) - Hourly,1 SPD DX CLG COIL: Cooling Coil Total Cooling Rate (W) - Hourly,1 SPD DX CLG COIL 1: Cooling Coil Total Cooling Rate (W) - Hourly,COIL COOLING DX SINGLE SPEED 1: Cooling Coil Total Cooling Rate (W) - Hourly
03 Jan 13:00,0,0,190.076032043258,0,0
03 Jan 14:00,0,0,181.86645797751203,0,0
03 Jan 15:00,0,0,181.317214812191,0,0
03 Jan 16:00,0,0,176.02157010305822,0,0
03 Jan 17:00,0,0,174.81763661076698,0,0
03 Jan 18:00,0,0,410.6797945292539,0,0
03 Jan 19:00,0,0,314.16944697809913,0,0
03 Jan 20:00,0,0,325.51898253069993,0,0
03 Jan 21:00,0,7191.787671253557,0,0,0
03 Jan 22:00,0,7080.835307241613,0,0,0
03 Jan 23:00,0,7002.318465441516,0,0,0
04 Jan 00:00,0,6928.976982614099,0,0,0
04 Jan 01:00,0,6859.051256812884,0,0,0
04 Jan 02:00,0,6797.655524576289,0,0,0
04 Jan 03:00,0,6748.199922819945,0,0,0
04 Jan 04:00,0,6695.342089295602,0,0,0
04 Jan 05:00,8085.994004130254,6645.985522981522,0,0,0
04 Jan 06:00,0,6617.146951044501,0,0,0
04 Jan 07:00,0,6584.811173785559,0,0,0
04 Jan 08:00,15266.703283644534,6556.012402192366,0,0,0
04 Jan 09:00,15199.723063318837,6535.781385293831,0,0,0
04 Jan 10:00,18857.813045813687,6515.485243705726,0,0,0
04 Jan 11:00,17919.43972736174,6483.165132252082,0,0,0
04 Jan 12:00,12598.573938089618,6442.247633735453,0,0,0
04 Jan 13:00,6298.98118580869,6401.333171218056,0,0,0
04 Jan 14:00,0,6348.493578425217,0,0,0
04 Jan 15:00,0,6287.125828685996,0,0,0
04 Jan 16:00,0,6225.762513521041,0,0,0
04 Jan 17:00,0,6116.786840595083,0,0,0
04 Jan 18:00,1771.4223423435342,5973.8207080275,0,0,0
04 Jan 19:00,0,5830.771113536034,0,0,0
04 Jan 20:00,0,5795.10745441868,0,0,0
04 Jan 21:00,0,5836.1816381661965,0,0,0
04 Jan 22:00,0,5877.255126572746,0,0,0
04 Jan 23:00,0,5870.520387150497,0,0,0
05 Jan 00:00,0,5829.6338103553135,0,0,0
05 Jan 01:00,0,5788.738964982643,0,0,0
05 Jan 02:00,0,5735.804626647299,0,0,0
05 Jan 03:00,0,5686.317892178486,0,0,0
05 Jan 04:00,0,5633.377711939885,0,0,0
05 Jan 05:00,8086.097603101781,5536.1772873060045,0,0,0
05 Jan 06:00,0,5413.395928454724,0,0,0
05 Jan 07:00,0,5290.646701319082,0,0,0
05 Jan 08:00,0,5239.543311383601,0,0,0
05 Jan 09:00,15258.036801804838,5227.618112666884,0,0,0
05 Jan 10:00,17919.518593780063,5219.100501110002,0,0,0
05 Jan 11:00,17995.603996365036,5278.717273608139,0,0,0
05 Jan 12:00,13424.877201761823,5380.797054021927,0,0,0
05 Jan 13:00,5396.746878173662,5482.795314069215,0,0,0
05 Jan 14:00,0,5585.05058948464,0,0,0
05 Jan 15:00,0,5675.439526586106,0,0,0
05 Jan 16:00,0,5769.277106147719,0,0,0
05 Jan 17:00,0,5883.4122115249265,0,0,0
05 Jan 18:00,0,5994.094467851599,0,0,0
05 Jan 19:00,10769.114523643731,6108.165967425299,0,0,0
05 Jan 20:00,0,6182.874613395819,0,0,0
05 Jan 21:00,0,6211.499046273394,3093.244185495693,0,0
05 Jan 22:00,0,6243.650173922545,0,0,0
05 Jan 23:00,0,6284.299756957397,889.420323482998,0,0
06 Jan 00:00,0,6312.943988543678,2265.912436488517,0,0
06 Jan 01:00,0,6345.004793929027,0,0,0
06 Jan 02:00,0,6361.918039694497,0,0,0
06 Jan 03:00,0,6373.863657938992,0,0,0
06 Jan 04:00,0,6382.395698952293,0,0,0
06 Jan 05:00,8086.103220008182,6442.182585590098,0,0,0
06 Jan 06:00,0,6556.699414539783,0,0,0
06 Jan 07:00,0,6667.860573102026,0,0,0
06 Jan 08:00,0,6698.683346183067,0,0,0
06 Jan 09:00,12524.507727782568,0,145.8394885480143,0,0
06 Jan 10:00,17920.68158004215,0,124.01861284405761,0,0
06 Jan 11:00,18171.932695675012,0,88.18359288489131,0,0
06 Jan 12:00,18654.886550188763,0,136.49957010597774,0,0
06 Jan 13:00,0,0,183.83877892563706,0,0
